deletion,frequency,deletion,transformed_frequency
e,2089,e,0.23148478014065363
i,770,i,0.2573015274481634
a,767,a,0.25741381625401183
s,624,s,0.26349179502852027
r,620,r,0.2636858430971573
l,529,l,0.2685677199034344
t,431,t,0.27514273048563487
n,422,n,0.2758382935337707
u,403,u,0.2773690401233418
 ,377, ,0.27961536723625585
c,362,c,0.2810008125644804
o,361,o,0.2810957064160904
h,305,h,0.2870017065429919
d,293,d,0.2884448180625538
m,163,m,0.3113143200692839
y,132,y,0.3204538722829043
k,104,k,0.33145142513818565
f,102,f,0.33238049023123367
w,98,w,0.33431107335091387
p,96,p,0.33531490661256436
g,84,g,0.34196460124938927
',82,',0.34319282241791993
-,59,-,0.3608998227975916
b,41,b,0.38273353435958046
x,16,x,0.4536958096060714
v,16,v,0.4536958096060714
z,14,z,0.4659554245485504
q,10,q,0.5
j,5,j,0.588591910067779
0,1,0,1.0
