edit,edit,frequency,edit_from,edit_to,transformed_frequency
e|i,e|i,917,e,i,0.2523742526971944
a|e,a|e,865,a,e,0.25399946881191093
i|e,i|e,773,i,e,0.25718977263373377
e|a,e|a,749,e,a,0.2580990302836846
a|i,a|i,560,a,i,0.266795580369732
s|c,s|c,384,s,c,0.2789920733892147
a|o,a|o,353,a,o,0.28186682724845846
o|a,o|a,352,o,a,0.2819647456374568
i|a,i|a,314,i,a,0.28596514675409423
e|o,e|o,295,e,o,0.2881992204196947
n|m,n|m,230,n,m,0.29746607958145443
o|e,o|e,216,o,e,0.2998991962791017
c|s,c|s,209,c,s,0.30119154815052374
o|u,o|u,171,o,u,0.30931061029909585
u|e,u|e,162,u,e,0.3115735540942793
e|u,e|u,160,e,u,0.3120981752908924
e|y,e|y,154,e,y,0.3137234507882923
i|y,i|y,142,i,y,0.31722986311891876
m|n,m|n,140,m,n,0.3178510183500594
u|i,u|i,133,u,i,0.32011763519295006
u|o,u|o,130,u,o,0.3211362208176302
u|a,u|a,126,u,a,0.32254209148477153
y|i,y|i,125,y,i,0.32290250469005105
a|u,a|u,123,a,u,0.3236345337265587
i|u,i|u,119,i,u,0.32514541723896323
d|t,d|t,106,d,t,0.3305450901614807
 |-, |-,102, ,-,0.33238049023123367
i|o,i|o,101,i,o,0.33285387133565303
o|i,o|i,99,o,i,0.33381901835158057
t|d,t|d,87,t,d,0.34019168240152464
c|t,c|t,65,c,t,0.35550330678989556
t|c,t|c,64,t,c,0.35635633112309495
s|z,s|z,63,s,z,0.3572269905478972
s|t,s|t,60,s,t,0.3599516044570672
c|g,c|g,59,c,g,0.3608998227975916
k|c,k|c,54,k,c,0.3659794626616297
w|u,w|u,52,w,u,0.3681880592465362
y|e,y|e,49,y,e,0.37172011639738944
z|s,z|s,49,z,s,0.37172011639738944
p|b,p|b,46,p,b,0.37555048683059694
r|l,r|l,45,r,l,0.3769015843276975
u|w,u|w,44,u,w,0.3782931349197638
b|d,b|d,41,b,d,0.38273353435958046
v|f,v|f,40,v,f,0.38431089342012037
f|v,f|v,39,f,v,0.385941746604149
t|s,t|s,38,t,s,0.38762941252569555
d|b,d|b,37,d,b,0.3893775129223119
e|t,e|t,35,e,t,0.3930712475323701
l|t,l|t,34,l,t,0.3950260036802463
k|h,k|h,32,k,h,0.3991776974050296
b|p,b|p,31,b,p,0.4013869212466589
g|j,g|j,30,g,j,0.40369440861835026
g|c,g|c,29,g,c,0.4061081924421849
c|k,c|k,28,c,k,0.40863727932254507
r|e,r|e,27,r,e,0.4112918086306602
r|u,r|u,26,r,u,0.414083244786221
n|d,n|d,26,n,d,0.414083244786221
r|n,r|n,25,r,n,0.4170246112844971
t|h,t|h,25,t,h,0.4170246112844971
g|d,g|d,24,g,d,0.4201307776703473
k|t,k|t,23,k,t,0.42341881428904443
s|d,s|d,23,s,d,0.42341881428904443
e|s,e|s,23,e,s,0.42341881428904443
n|r,n|r,23,n,r,0.42341881428904443
d|g,d|g,22,d,g,0.4269084346677318
q|c,q|c,22,q,c,0.4269084346677318
l|r,l|r,21,l,r,0.43062255242977826
a|y,a|y,21,a,y,0.43062255242977826
t|e,t|e,21,t,e,0.43062255242977826
n|t,n|t,20,n,t,0.43458798967609363
l|i,l|i,19,l,i,0.43883638827026494
t|l,t|l,18,t,l,0.4434053967922575
d|e,d|e,18,d,e,0.4434053967922575
a|l,a|l,17,a,l,0.4483402378845171
h|n,h|n,17,h,n,0.4483402378845171
l|b,l|b,16,l,b,0.4536958096060714
l|d,l|d,16,l,d,0.4536958096060714
c|x,c|x,16,c,x,0.4536958096060714
d|n,d|n,16,d,n,0.4536958096060714
i|t,i|t,16,i,t,0.4536958096060714
a|t,a|t,16,a,t,0.4536958096060714
e|n,e|n,15,e,n,0.4595395509441786
h|e,h|e,15,h,e,0.4595395509441786
t|p,t|p,15,t,p,0.4595395509441786
i|h,i|h,15,i,h,0.4595395509441786
x|c,x|c,15,x,c,0.4595395509441786
n|l,n|l,15,n,l,0.4595395509441786
g|t,g|t,15,g,t,0.4595395509441786
a|r,a|r,15,a,r,0.4595395509441786
r|i,r|i,15,r,i,0.4595395509441786
t|i,t|i,15,t,i,0.4595395509441786
