edit,edit,frequency,edit_from,edit_to,transformed_frequency,first_letter,second_letter
er|re,er|re,189,er,re,0.30520728144191867,e,r
ei|ie,ei|ie,122,ei,ie,0.3240062905372175,e,i
el|le,el|le,121,el,le,0.3243819727538636,e,l
re|er,re|er,113,re,er,0.3275382596652337,r,e
et|te,et|te,96,et,te,0.33531490661256436,e,t
ic|ci,ic|ci,94,ic,ci,0.3363461140055768,i,c
in|ni,in|ni,82,in,ni,0.34319282241791993,i,n
ie|ei,ie|ei,81,ie,ei,0.34382160936333256,i,e
le|el,le|el,75,le,el,0.3478186752863497,l,e
en|ne,en|ne,74,en,ne,0.34852535371167637,e,n
it|ti,it|ti,72,it,ti,0.3499767707289835,i,t
de|ed,de|ed,68,de,ed,0.353043902356014,d,e
is|si,is|si,67,is,si,0.35384767559737584,i,s
se|es,se|es,64,se,es,0.35635633112309495,s,e
ne|en,ne|en,62,ne,en,0.3581159490485675,n,e
si|is,si|is,57,si,is,0.36286117925190725,s,i
ni|in,ni|in,56,ni,in,0.3638761213472617,n,i
ia|ai,ia|ai,56,ia,ai,0.3638761213472617,i,a
es|se,es|se,51,es,se,0.3693348408206978,e,s
me|em,me|em,49,me,em,0.37172011639738944,m,e
ra|ar,ra|ar,47,ra,ar,0.3742377911161279,r,a
an|na,an|na,44,an,na,0.3782931349197638,a,n
ir|ri,ir|ri,43,ir,ri,0.37972735078002484,i,r
ro|or,ro|or,42,ro,or,0.3812066217497452,r,o
il|li,il|li,41,il,li,0.38273353435958046,i,l
em|me,em|me,41,em,me,0.38273353435958046,e,m
ar|ra,ar|ra,40,ar,ra,0.38431089342012037,a,r
au|ua,au|ua,39,au,ua,0.385941746604149,a,u
ci|ic,ci|ic,38,ci,ic,0.38762941252569555,c,i
te|et,te|et,37,te,et,0.3893775129223119,t,e
ti|it,ti|it,33,ti,it,0.39705954537956056,t,i
na|an,na|an,33,na,an,0.39705954537956056,n,a
ai|ia,ai|ia,32,ai,ia,0.3991776974050296,a,i
th|ht,th|ht,32,th,ht,0.3991776974050296,t,h
ht|th,ht|th,31,ht,th,0.4013869212466589,h,t
or|ro,or|ro,30,or,ro,0.40369440861835026,o,r
ri|ir,ri|ir,28,ri,ir,0.40863727932254507,r,i
ec|ce,ec|ce,27,ec,ce,0.4112918086306602,e,c
ol|lo,ol|lo,26,ol,lo,0.414083244786221,o,l
ig|gi,ig|gi,26,ig,gi,0.414083244786221,i,g
ae|ea,ae|ea,25,ae,ea,0.4170246112844971,a,e
at|ta,at|ta,25,at,ta,0.4170246112844971,a,t
ev|ve,ev|ve,23,ev,ve,0.42341881428904443,e,v
st|ts,st|ts,23,st,ts,0.42341881428904443,s,t
ed|de,ed|de,23,ed,de,0.42341881428904443,e,d
ue|eu,ue|eu,21,ue,eu,0.43062255242977826,u,e
on|no,on|no,21,on,no,0.43062255242977826,o,n
mi|im,mi|im,21,mi,im,0.43062255242977826,m,i
fe|ef,fe|ef,21,fe,ef,0.43062255242977826,f,e
im|mi,im|mi,21,im,mi,0.43062255242977826,i,m
li|il,li|il,21,li,il,0.43062255242977826,l,i
oi|io,oi|io,19,oi,io,0.43883638827026494,o,i
lo|ol,lo|ol,19,lo,ol,0.43883638827026494,l,o
sa|as,sa|as,18,sa,as,0.4434053967922575,s,a
am|ma,am|ma,18,am,ma,0.4434053967922575,a,m
la|al,la|al,18,la,al,0.4434053967922575,l,a
if|fi,if|fi,17,if,fi,0.4483402378845171,i,f
iu|ui,iu|ui,17,iu,ui,0.4483402378845171,i,u
ru|ur,ru|ur,17,ru,ur,0.4483402378845171,r,u
ib|bi,ib|bi,17,ib,bi,0.4483402378845171,i,b
ce|ec,ce|ec,16,ce,ec,0.4536958096060714,c,e
uo|ou,uo|ou,15,uo,ou,0.4595395509441786,u,o
ba|ab,ba|ab,14,ba,ab,0.4659554245485504,b,a
ta|at,ta|at,14,ta,at,0.4659554245485504,t,a
gi|ig,gi|ig,14,gi,ig,0.4659554245485504,g,i
us|su,us|su,14,us,su,0.4659554245485504,u,s
al|la,al|la,14,al,la,0.4659554245485504,a,l
io|oi,io|oi,14,io,oi,0.4659554245485504,i,o
ts|st,ts|st,13,ts,st,0.47304957292670674,t,s
ua|au,ua|au,13,ua,au,0.47304957292670674,u,a
ag|ga,ag|ga,13,ag,ga,0.47304957292670674,a,g
ud|du,ud|du,12,ud,du,0.48095855130519694,u,d
ur|ru,ur|ru,12,ur,ru,0.48095855130519694,u,r
mo|om,mo|om,12,mo,om,0.48095855130519694,m,o
id|di,id|di,12,id,di,0.48095855130519694,i,d
ep|pe,ep|pe,12,ep,pe,0.48095855130519694,e,p
eo|oe,eo|oe,12,eo,oe,0.48095855130519694,e,o
ca|ac,ca|ac,12,ca,ac,0.48095855130519694,c,a
